ID,prof_ID,score,age,bty_avg,gender,ethnicity,language,rank,pic_outfit,pic_color,cls_did_eval,cls_students,cls_level
358,72,3.5,52,5.833,male,not minority,english,tenured,not formal,color,46,69,upper
359,72,3.8,52,5.833,male,not minority,english,tenured,not formal,color,46,65,upper
360,72,3.9,52,5.833,male,not minority,english,tenured,not formal,color,39,62,upper
361,72,3.9,52,5.833,male,not minority,english,tenured,not formal,color,34,67,upper
362,72,4.2,52,5.833,male,not minority,english,tenured,not formal,color,29,40,upper
363,72,4.1,52,5.833,male,not minority,english,tenured,not formal,color,27,45,upper
364,73,4.8,51,6.167,male,not minority,english,tenured,formal,color,348,574,lower
365,73,4.8,51,6.167,male,not minority,english,tenured,formal,color,372,579,lower
366,73,4.8,51,6.167,male,not minority,english,tenured,formal,color,343,537,lower
367,73,4.8,51,6.167,male,not minority,english,tenured,formal,color,380,581,lower
368,73,4.9,51,6.167,male,not minority,english,tenured,formal,color,322,527,lower
369,74,4.2,38,3.333,male,not minority,english,tenured,not formal,color,44,87,lower
370,74,4.5,38,3.333,male,not minority,english,tenured,not formal,color,66,84,lower
371,74,3.9,38,3.333,male,not minority,english,tenured,not formal,color,40,79,lower
372,74,4.4,38,3.333,male,not minority,english,tenured,not formal,color,60,92,lower
373,75,4,47,5.167,female,not minority,english,tenured,formal,color,19,24,lower
374,75,3.6,47,5.167,female,not minority,english,tenured,formal,color,38,67,lower
375,76,3.7,43,4.167,female,minority,english,tenured,formal,color,47,103,lower
376,76,2.7,43,4.167,female,minority,english,tenured,formal,color,93,190,lower
377,77,4.5,38,2.5,female,not minority,english,teaching,not formal,color,33,68,lower
378,77,4.4,38,2.5,female,not minority,english,teaching,not formal,color,36,60,lower
379,77,3.9,38,2.5,female,not minority,english,teaching,not formal,color,29,64,lower
380,77,3.6,38,2.5,female,not minority,english,teaching,not formal,color,23,31,lower
381,77,4.4,38,2.5,female,not minority,english,teaching,not formal,color,36,62,lower
382,77,4.4,38,2.5,female,not minority,english,teaching,not formal,color,30,37,lower
383,78,4.7,43,4.333,male,not minority,english,tenured,formal,color,10,13,lower
384,78,4.5,43,4.333,male,not minority,english,tenured,formal,color,8,13,lower
385,78,4.1,43,4.333,male,not minority,english,tenured,formal,color,12,15,upper
386,78,3.7,43,4.333,male,not minority,english,tenured,formal,color,65,79,upper
387,79,4.3,57,3,male,not minority,english,tenured,not formal,color,7,13,upper
388,79,3.5,57,3,male,not minority,english,tenured,not formal,color,53,98,upper
389,79,3.7,57,3,male,not minority,english,tenured,not formal,color,58,97,upper
390,80,4,51,6.333,female,not minority,english,tenured,not formal,color,9,11,upper
391,80,4,51,6.333,female,not minority,english,tenured,not formal,color,67,78,upper
392,80,3.1,51,6.333,female,not minority,english,tenured,not formal,color,36,56,upper
393,80,4.5,51,6.333,female,not minority,english,tenured,not formal,color,17,20,upper
394,81,4.8,45,3.333,male,not minority,english,teaching,not formal,color,12,17,lower
395,81,4.2,45,3.333,male,not minority,english,teaching,not formal,color,17,20,lower
396,81,4.9,45,3.333,male,not minority,english,teaching,not formal,color,13,19,lower
397,81,4.8,45,3.333,male,not minority,english,teaching,not formal,color,19,26,lower
398,82,3.5,57,2.833,male,not minority,english,tenured,not formal,black&white,13,14,lower
399,82,3.6,57,2.833,male,not minority,english,tenured,not formal,black&white,12,18,lower
400,82,4.4,57,2.833,male,not minority,english,tenured,not formal,black&white,12,12,lower
401,82,3.4,57,2.833,male,not minority,english,tenured,not formal,black&white,16,19,lower
402,82,3.9,57,2.833,male,not minority,english,tenured,not formal,black&white,12,16,lower
403,82,3.8,57,2.833,male,not minority,english,tenured,not formal,black&white,14,16,lower
404,82,4.8,57,2.833,male,not minority,english,tenured,not formal,black&white,11,12,lower
405,82,4.6,57,2.833,male,not minority,english,tenured,not formal,black&white,15,17,lower
406,82,5,57,2.833,male,not minority,english,tenured,not formal,black&white,6,15,upper
407,82,3.8,57,2.833,male,not minority,english,tenured,not formal,black&white,15,16,lower
408,82,4.2,57,2.833,male,not minority,english,tenured,not formal,black&white,12,17,lower
409,83,3.3,47,6.667,female,not minority,english,teaching,not formal,black&white,16,21,lower
410,83,4.7,47,6.667,female,not minority,english,teaching,not formal,black&white,15,17,lower
411,83,4.6,47,6.667,female,not minority,english,teaching,not formal,black&white,10,10,lower
412,83,4.6,47,6.667,female,not minority,english,teaching,not formal,black&white,16,17,lower
413,83,4,47,6.667,female,not minority,english,teaching,not formal,black&white,15,17,lower
414,84,4.2,54,6.833,female,minority,english,tenured,not formal,black&white,18,18,lower
415,84,4.9,54,6.833,female,minority,english,tenured,not formal,black&white,15,16,lower
416,84,4.5,54,6.833,female,minority,english,tenured,not formal,black&white,21,26,lower
417,84,4.8,54,6.833,female,minority,english,tenured,not formal,black&white,14,18,lower
418,84,3.8,54,6.833,female,minority,english,tenured,not formal,black&white,16,20,lower
419,85,4.8,58,7.833,male,not minority,english,teaching,not formal,black&white,16,17,lower
420,85,5,58,7.833,male,not minority,english,teaching,not formal,black&white,21,21,lower
421,85,5,58,7.833,male,not minority,english,teaching,not formal,black&white,18,21,lower
422,85,4.9,58,7.833,male,not minority,english,teaching,not formal,black&white,17,20,lower
423,85,4.6,58,7.833,male,not minority,english,teaching,not formal,black&white,19,20,lower
424,85,5,58,7.833,male,not minority,english,teaching,not formal,black&white,11,13,lower
425,85,4.8,58,7.833,male,not minority,english,teaching,not formal,black&white,14,16,lower
426,85,4.9,58,7.833,male,not minority,english,teaching,not formal,black&white,16,17,lower
427,86,4.9,42,7.833,male,not minority,english,tenured,not formal,black&white,15,18,lower
428,86,3.9,42,7.833,male,not minority,english,tenured,not formal,black&white,22,24,lower
429,86,3.9,42,7.833,male,not minority,english,tenured,not formal,black&white,17,20,upper
430,87,4.5,33,5.833,male,not minority,english,tenure track,not formal,color,85,120,lower
431,87,4.5,33,5.833,male,not minority,english,tenure track,not formal,color,67,155,lower
432,88,3.3,62,2,male,not minority,english,tenured,not formal,color,11,38,lower
433,88,3.1,62,2,male,not minority,english,tenured,not formal,color,28,70,lower
434,88,2.8,62,2,male,not minority,english,tenured,not formal,color,61,149,lower
435,88,3.1,62,2,male,not minority,english,tenured,not formal,color,49,137,lower
436,88,4.2,62,2,male,not minority,english,tenured,not formal,color,13,29,upper
437,88,3.4,62,2,male,not minority,english,tenured,not formal,color,28,55,lower
438,88,3,62,2,male,not minority,english,tenured,not formal,color,67,136,lower
439,89,3.3,35,7.833,female,minority,english,tenure track,not formal,color,60,96,lower
440,89,3.6,35,7.833,female,minority,english,tenure track,not formal,color,20,60,lower
441,89,3.7,35,7.833,female,minority,english,tenure track,not formal,color,43,108,lower
442,90,3.6,61,3.333,male,not minority,english,tenured,not formal,color,27,39,lower
443,90,4.3,61,3.333,male,not minority,english,tenured,not formal,color,13,15,lower
444,91,4.1,52,4.5,female,not minority,english,tenured,not formal,color,61,111,lower
445,91,4.9,52,4.5,female,not minority,english,tenured,not formal,color,14,17,lower
446,91,4.8,52,4.5,female,not minority,english,tenured,not formal,color,19,19,lower
447,92,3.7,60,4.333,female,not minority,non-english,tenure track,formal,black&white,23,27,upper
448,92,3.9,60,4.333,female,not minority,non-english,tenure track,formal,black&white,18,19,upper
449,92,4.5,60,4.333,female,not minority,non-english,tenure track,formal,black&white,11,13,upper
450,92,3.6,60,4.333,female,not minority,non-english,tenure track,formal,black&white,18,19,upper
451,92,4.4,60,4.333,female,not minority,non-english,tenure track,formal,black&white,11,22,upper
452,92,3.4,60,4.333,female,not minority,non-english,tenure track,formal,black&white,7,20,upper
453,92,4.4,60,4.333,female,not minority,non-english,tenure track,formal,black&white,24,27,upper
454,93,4.5,32,6.833,male,not minority,english,tenure track,not formal,color,98,132,lower
455,93,4.5,32,6.833,male,not minority,english,tenure track,not formal,color,111,127,lower
456,93,4.5,32,6.833,male,not minority,english,tenure track,not formal,color,62,85,upper
457,93,4.6,32,6.833,male,not minority,english,tenure track,not formal,color,76,101,lower
458,93,4.1,32,6.833,male,not minority,english,tenure track,not formal,color,9,21,lower
459,93,4.5,32,6.833,male,not minority,english,tenure track,not formal,color,52,86,upper
460,94,3.5,42,5.333,female,minority,non-english,tenure track,not formal,color,48,84,upper
461,94,4.4,42,5.333,female,minority,non-english,tenure track,not formal,color,52,67,upper
462,94,4.4,42,5.333,female,minority,non-english,tenure track,not formal,color,54,66,upper
463,94,4.1,42,5.333,female,minority,non-english,tenure track,not formal,color,28,35,lower
